# This is a very simplistic CSV file currently
# No embedded commas supported in fields
# Indicates a comment
Id,Name,Link
1,Homer Simpson,nolink
2,Marge Simpson,nolink
3,Bart Simpson,nolink
4,Lisa Simpson,nolink
5,Maggie Simpson,nolink
6,Grandpa Simpson,nolink
7,Patty Bouvier,nolink
8,Selma Bouvier,nolink
9,Mrs Bouvier,nolink
10,Ned Flanders,nolink
11,Maude Flanders,nolink
12,Rodd Flanders,nolink
13,Todd Flanders,nolink

# A new header starts after a blank line
Id,Relation,Id2
1,Parent Of,3
1,Parent Of,4
1,Parent Of,5
2,Parent Of,3
2,Parent Of,4
2,Parent Of,5
1,Spouse Of,2
6,Parent Of,1
9,Parent Of,2
9,Parent Of,7
9,Parent Of,8
10,Spouse Of,11
10,Parent Of,12
10,Parent Of,13
11,Parent Of,12
11,Parent Of,13
