# This is a very simplistic CSV file currently
# No embedded commas supported in fields
# Indicates a comment
Id,Name,Link,Gender,Birth,Death
1,A1M,nolink,M
2,A1F,nolink,F
3,A2M,nolink,M
4,A2F,nolink,F
5,A3M,nolink,M
6,A3F,nolink,F
7,A4M,nolink,M
8,A4F,nolink,F
9,A5M,nolink,M
10,A5F,nolink,F
11,A6M,nolink,M
12,A6F,nolink,F
13,A7M,nolink,M
14,A7F,nolink,F
15,A8M,nolink,M
16,A8F,nolink,F
17,B1,nolink,F
18,B2,nolink,M
19,B3,nolink,F
20,C1,nolink,M
21,C2,nolink,F
22,C3,nolink,M
23,D1,nolink,F
24,D2,nolink,M
25,D3,nolink,F
26,E1,nolink,M
27,E2,nolink,F
28,E3,nolink,M
29,F1,nolink,F
30,F2,nolink,M
31,F3,nolink,F
32,G1,nolink,M
33,G2,nolink,F
34,G3,nolink,M
35,H1,nolink,F
36,H2,nolink,M
37,H3,nolink,F
38,I1,nolink,M
39,I2,nolink,F
30,I3,nolink,M
41,BC1,nolink,F
42,BC2,nolink,M
43,BC3,nolink,F
44,DE1,nolink,M
45,DE2,nolink,F
46,DE3,nolink,M
47,FG1,nolink,F
48,FG2,nolink,M
49,FG3,nolink,F
50,HI1,nolink,M
51,HI2,nolink,F
52,HI3,nolink,M
53,BCDE1,nolink,F
54,BCDE2,nolink,M
55,BCDE3,nolink,F
56,FGHI1,nolink,M
57,FGHI2,nolink,F
58,FGHI3,nolink,M
59,X1,nolink,F
60,X2,nolink,M
61,X3,nolink,F
62,X4,nolink,M
63,X5,nolink,F
64,X6,nolink,M
65,B1A,nolink,F
66,B1B,nolink,M

# A new header starts after a blank line
Id,Relation,Id2
1,Spouse Of,2
1,Parent Of,17
1,Parent Of,18
1,Parent Of,19
2,Parent Of,17
2,Parent Of,18
2,Parent Of,19
#
3,Spouse Of,4
3,Parent Of,20
3,Parent Of,21
3,Parent Of,22
4,Parent Of,20
4,Parent Of,21
4,Parent Of,22
#
5,Spouse Of,6
5,Parent Of,23
5,Parent Of,24
5,Parent Of,25
6,Parent Of,23
6,Parent Of,24
6,Parent Of,25
#
7,Spouse Of,8
7,Parent Of,26
7,Parent Of,27
7,Parent Of,28
8,Parent Of,26
8,Parent Of,27
8,Parent Of,28
#
9,Spouse Of,10
9,Parent Of,29
9,Parent Of,30
9,Parent Of,31
10,Parent Of,29
10,Parent Of,30
10,Parent Of,31
#
11,Spouse Of,12
11,Parent Of,32
11,Parent Of,33
11,Parent Of,34
12,Parent Of,32
12,Parent Of,33
12,Parent Of,34
#
13,Spouse Of,14
13,Parent Of,35
13,Parent Of,36
13,Parent Of,37
14,Parent Of,35
14,Parent Of,36
14,Parent Of,37
#
15,Spouse Of,16
15,Parent Of,38
15,Parent Of,39
15,Parent Of,40
16,Parent Of,38
16,Parent Of,39
16,Parent Of,40
#
17,Spouse Of,20
17,Parent Of,41
17,Parent Of,42
17,Parent Of,43
20,Parent Of,41
20,Parent Of,42
20,Parent Of,43
#
23,Spouse Of,26
23,Parent Of,44
23,Parent Of,45
23,Parent Of,46
26,Parent Of,44
26,Parent Of,45
26,Parent Of,46
#
29,Spouse Of,32
29,Parent Of,47
29,Parent Of,48
29,Parent Of,49
32,Parent Of,47
32,Parent Of,48
32,Parent Of,49
#
35,Spouse Of,38
35,Parent Of,50
35,Parent Of,51
35,Parent Of,52
38,Parent Of,50
38,Parent Of,51
38,Parent Of,52
#
41,Spouse Of,44
41,Parent Of,53
41,Parent Of,54
41,Parent Of,55
44,Parent Of,53
44,Parent Of,54
44,Parent Of,55
#
47,Spouse Of,50
47,Parent Of,56
47,Parent Of,57
47,Parent Of,58
50,Parent Of,56
50,Parent Of,57
50,Parent Of,58
#
53,Spouse Of,56
53,Parent Of,59
53,Parent Of,60
53,Parent Of,61
56,Parent Of,59
56,Parent Of,60
56,Parent Of,61
#
54,Spouse Of,57
55,Spouse Of,58
#
54,Parent Of,62
54,Parent Of,63
54,Parent Of,64
57,Parent Of,62
57,Parent Of,63
57,Parent Of,64
#
41,Spouse Of,45
41,Spouse Of,46
42,Spouse Of,46
44,Spouse Of,66
66,Spouse Of,44
#
1,Parent Of,65
1,Parent Of,66
3,Parent Of,65
5,Parent Of,66
